Task,treatment,rho_ha_est,rho_ha_min,rho_ha_max,rho_hh_est,rho_hh_min,rho_hh_max,phi_0_est,phi_0_min,phi_0_max,alpha_est,alpha_min,alpha_max
152,tr_worse,0.312047245,0.217082538,0.405276772,0.539605524,0.485495349,0.593480389,1.317903802,1.163229963,1.460502303,1.033501727,0.808746307,1.375432739
153,tr_worse,0.317034888,0.222252795,0.408999827,0.539878012,0.487100497,0.590446036,1.31040981,1.159856722,1.446000186,1.02649826,0.807068424,1.355873207
154,tr_worse,0.314271968,0.215363756,0.40581926,0.538244887,0.494503511,0.597542198,1.317904835,1.152795012,1.454770972,1.038873844,0.811305235,1.373175258
155,tr_worse,0.315208283,0.21729495,0.409554159,0.539773799,0.482036299,0.610580411,1.314686307,1.171962433,1.456439883,1.030624998,0.807900435,1.375754172
156,tr_worse,0.312382627,0.217629015,0.405153596,0.539193864,0.467129184,0.601296246,1.302088676,1.147023261,1.437546598,1.012864184,0.796404721,1.325434128
157,tr_worse,0.314026443,0.22054084,0.406130559,0.538731708,0.44648476,0.600168909,1.316947351,1.169122365,1.455992913,1.039996655,0.818296509,1.399252025
158,tr_worse,0.309456488,0.213378566,0.401231096,0.537763262,0.466197796,0.604993444,1.308815768,1.1379803,1.452299205,1.021112038,0.806429831,1.352983926
159,tr_worse,0.311466512,0.217392833,0.403342968,0.538853989,0.4756937,0.593992615,1.305980587,1.145737816,1.443582613,1.015365305,0.80121558,1.336348089
160,tr_worse,0.314047214,0.215857986,0.409611109,0.538377281,0.471154856,0.589117794,1.318573495,1.158253794,1.460589322,1.037184085,0.812530542,1.386556391
161,tr_worse,0.315181492,0.215454787,0.407414352,0.538853981,0.470279882,0.602345245,1.29460509,1.138274511,1.43568044,1.019083573,0.800847395,1.364820754
162,tr_worse,0.31574162,0.218234323,0.408630811,0.538926137,0.477571358,0.602576881,1.317955308,1.166439116,1.459323222,1.035983187,0.811089009,1.377412953
163,tr_worse,0.31497953,0.216633773,0.408762506,0.539230532,0.471562888,0.601596993,1.304824443,1.151524968,1.445732235,1.023680469,0.800509184,1.348559848
164,tr_worse,0.312239698,0.214747876,0.405468282,0.538610295,0.472890786,0.580165725,1.315293951,1.154425902,1.454433058,1.033155286,0.807128458,1.373948089
165,tr_worse,0.320572155,0.225044215,0.413302474,0.537625677,0.476051152,0.602082682,1.311091684,1.159588128,1.451557841,1.0380213,0.812131534,1.386879132
166,tr_worse,0.315324894,0.21634278,0.40760438,0.539256014,0.456120138,0.598329685,1.314385268,1.165696352,1.452238259,1.026430387,0.807671401,1.376330411
